"﻿ID","Title","Content","Excerpt","Date","Post Type","Permalink","WPML Translation ID","WPML Language Code","URL","Title","Caption","Description","Alt Text","Featured","URL","Categorías","Etiquetas","Prioridades de traducción","_wpmem_block","_av_alb_posts_elements_state","_av_el_mgr_version","_av_alb_element_mgr_version","_alp_processed","_icl_lang_duplicate_of","_wpml_word_count","layout","sidebar","footer","header_title_bar","header_transparency","_avia_hide_featured_image","_yoast_wpseo_content_score","_yoast_wpseo_primary_category","_yoast_wpseo_focuskw_text_input","_yoast_wpseo_focuskw","_yoast_wpseo_linkdex","_wp_old_slug","_aviaLayoutBuilder_active","_avia_builder_shortcode_tree","_aviaLayoutBuilderCleanData","_wpml_location_migration_done","_wpml_media_featured","_wpml_media_duplicate","_yoast_wpseo_metadesc","_avia_sc_parser_state","_yoast_wpseo_estimated-reading-time-minutes","_yoast_wpseo_wordproof_timestamp","_yoast_wpseo_title","_pingme","_encloseme","_last_translation_edit_mode","enclosure","_wp_old_date","_top_nav_excluded","_cms_nav_minihome","Status","Author ID","Author Username","Author Email","Author First Name","Author Last Name","Slug","Format","Template","Parent","Parent Slug","Order","Comment Status","Ping Status","Post Modified Date"
"1240","Newsletter Images (do not remove)","This is a placeholder for the Newsletter plugin images. You may edit and reuse this post but do not remove it.","","1970-01-01 00:00:00","post","https://www.motorlan.es/es/?p=1240","1240","es","https://www.motorlan.es/wp-content/uploads/2015/09/newsletter-cabecera-2016-anim2-motorlan.gif","newsletter-cabecera-2016-anim2-motorlan","","","","","","Sin categorizar","","","0","a:0:{}|a:0:{}","1.0|1.0","1.0.1|1.0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","draft","1","adakiadmin@motorlan","soporte@adaki.com","Adaki","","","","","0","0","0","open","open","2015-09-25 13:26:03"
"1695","MOTORLAN en la feria MAINTENANCE BILBAO","<p style=""text-align: justify"">Cualificación y especialización son dos puntos clave en el desarrollo de MAINTENANCE, una feria que agrupará a todos los servicios de mantenimiento imprescindibles para la industria por primera vez en Bilbao Exhibition Centre.</p>
<p style=""text-align: justify""><strong>MOTORLAN exponemos en stand 43 PAB 2G. Os esperamos.</strong><!--more--></p>
<p style=""text-align: justify"">Bajo el concepto de evento flexible, versátil y muy especializado, MAINTENANCE abarcará el espectro completo de los servicios de mantenimiento, desde la inspección y monitorización hasta el mantenimiento preventivo y correctivo. Así, los sectores expositivos serán los de medición, evaluación y control, mantenimiento y lubricación, tecnologías, mantenimiento y servicios industriales, soluciones de software industriales, sistemas de seguridad, servicios medioambientales, eliminación de residuos y reciclaje, tratamiento de aguas y aguas residuales, control de contaminación de suelos y aguas subterráneas, tratamiento de aire y emisiones, ingenierías y consultorías.</p>","","2015-05-20 13:26:15","post","https://www.motorlan.es/es/motorlan-en-la-feria-maintenance-bilbao/","1420","es","https://www.motorlan.es/wp-content/uploads/2015/09/maintenance-bilbao-15.jpg","maintenance-bilbao-15","","","","https://www.motorlan.es/wp-content/uploads/2015/09/maintenance-bilbao-15.jpg","","Noticias","","","0","a:0:{}|a:0:{}","1.0|1.0","1.0.1","","","","","","","","","0","","","Maintenance","Maintenance","73","","","","","","","","Motorlan acudirá a la feria MAINTENANCE, una feria que agrupará a todos los servicios de mantenimiento imprescindibles para la industria.","","","","","","","","","","","","publish","1","adakiadmin@motorlan","soporte@adaki.com","Adaki","","motorlan-en-la-feria-maintenance-bilbao","","","0","0","0","open","open","2015-12-04 09:55:48"
"1698","Conferencia abierta en la ESCUELA DE INGENIERIA UPV en SAN SEBASTIAN","<strong>Conferencia sobre la Eficiencia de Motores eléctricos. Aplicación práctica y últimas novedades de la Directiva de Eficiencia Energética (EU MEPS)</strong>

Conferenciantes: <strong>Mikel Serrano Palma (Fagor Automation) y Joan Puig (ABB).</strong>
Día: <strong>13 de MAYO de 2015.</strong>
Hora: <strong>9:30 a 13:00 horas.</strong>
Lugar: <strong>Salón de Grados  de la <a>Escuela Politécnica UPV SAN SEBASTIAN</a>.</strong><!--more-->

<strong>ENTRADA LIBRE HASTA COMPLETAR AFORO</strong>
Los temas de interés a ser tratados en la charla serán, entre otros, los siguientes:
<ul>
	<li>Importancia de la eficiencia energética. Estrategia Energética Europea. Importancia de los motores eléctricos en el consumo energético. Motores eléctricos y su eficiencia. Nuevos diseños. Optimización de rendimiento. ¿Reparar o sustituir por un motor nuevo? Conceptos básicos: Rendimiento, Factor de potencia y Cosφ. Evolución de la Directiva EU MEPS – Nueva fase de implementación Enero 2015. Rendimiento de los motores eléctricos fuera de la UE, directivas. (Fabricantes de Maquinaria /exportación). Gama de productos IE2-IE3, IE4 y SynRM (motor de reluctancia).</li>
	<li>Preguntas y coloquio.</li>
</ul>
<a href=""http://www.motorlan.es/wp-content/uploads/2015/09/motor-formula.jpg""><img class=""alignnone wp-image-1700 size-medium"" src=""http://www.motorlan.es/wp-content/uploads/2015/09/motor-formula-300x159.jpg"" alt=""motor-formula"" width=""300"" height=""159"" /></a>","","2015-05-06 13:28:12","post","https://www.motorlan.es/es/conferencia-abierta-en-la-escuela-de-ingenieria-upv-en-san-sebastian/","1421","es","https://www.motorlan.es/wp-content/uploads/2015/09/EU-MEPS.jpg|https://www.motorlan.es/wp-content/uploads/2015/09/motor-formula.jpg","EU MEPS|motor-formula","|","|","|","https://www.motorlan.es/wp-content/uploads/2015/09/EU-MEPS.jpg","","Noticias","","","0","a:0:{}|a:0:{}","1.0","1.0.1","","","","","","","","","0","","","Conferencia","Conferencia","69","","","","","","","","Conferencia abierta de Motorlan en la ESCUELA DE INGENIERIA UPV en SAN SEBASTIAN sobre la importancia de la eficiencia enegética en los motores eléctricos.","","","","Conferencia abierta de Motorlan","","","","","","","","publish","1","adakiadmin@motorlan","soporte@adaki.com","Adaki","","conferencia-abierta-en-la-escuela-de-ingenieria-upv-en-san-sebastian","","","0","0","0","open","open","2015-11-30 15:08:01"
"1815","MOTORLAN EN EKOSTEGUNA","Motorlan fuimos invitados como ponentes para dar nuestra visión sobre los materiales críticos que afectan a la fabricación y remanufacturación de motores eléctricos, en la jornada organizada por IHOBE (Sociedad Pública de Gestión Ambiental del Gobierno Vasco)  ""Materiales críticos en la industria vasca: implicaciones, tendencias y oportunidades""<!--more-->

En concretro hablamos sobre la criticidad de las tierras raras en los motores que llevan imanes y su impacto en la CAPV, así como posibles alternativas en las que estamos trabajando.

La Comisión Europea prioriza veinte materiales críticos como las tierras raras, el niobio, la magnesita o el grafito. Estas tienen especialmente incidencia en el medio ambiente y sobre todo, en el riesgo de suministro en sectores estratégicos debido a las limitadas reservas y los oligopolios existentes. Sectores como la metalurgia,  los fabricantes de equipos eléctricos así como los recicladores de residuos están afectados de modo relevante.","","2015-04-30 07:19:05","post","https://www.motorlan.es/es/motorlan-en-ekosteguna/","1424","es","https://www.motorlan.es/wp-content/uploads/2015/10/ekosteguna.jpg","ekosteguna","","","","https://www.motorlan.es/wp-content/uploads/2015/10/ekosteguna.jpg","","Noticias","","","0","a:0:{}","1.0","1.0.1","","","","","","","","","0","","","EKOSTEGUNA","EKOSTEGUNA","61","","","","","","","","Motorlan invitado como ponente al EKOSTEGUNA para hablar sobre los materiales que afectan a la fabricación y remanufacturación de motores eléctricos.","","","","","","","","","","","","publish","1","adakiadmin@motorlan","soporte@adaki.com","Adaki","","motorlan-en-ekosteguna","","","0","0","0","open","open","2015-11-30 15:06:43"
"1820","Conferencia abierta en la Escuela de Ingeniería UPV en San Sebastián","Estaremos el 21 abril hablando sobre Mantenimiento Predictivo en <strong>MÁQUINAS ELÉCTRICAS ROTATIVAS EN BT</strong>. Dentro del XII<strong> Ciclo de Conferencias Técnicas</strong> (2º cuatrimestre 2014-2015. Febrero-mayo 2015 (ver). Estáis invitados. Entrada libre hasta completar aforo.<!--more-->

<strong>12. Mantenimiento Predictivo en MÁQUINAS ELÉCTRICAS ROTATIVAS EN BT</strong>

&nbsp;

<strong>Conferenciante:</strong> Mikel Serrano Palma, Fagor Automation.
<strong>Responsable:</strong> Vicente Moreno.
<strong>Día:</strong> 21 de abril de 2015.
<strong>Hora:</strong> 16:00 a 18:00 horas.
<strong>Lugar:</strong> Laboratorio de Máquinas Eléctricas

Especialmente dirigida a estudiantes de Grado en Ingeniería Eléctrica que cursan la asignatura Técnicas para el Mantenimiento y Diagnóstico de Instalaciones Eléctricas.
Los temas de interés a ser tratados en la charla serán, entre otros, los siguientes:

• Pautas para un correcto y eficaz mantenimiento predictivo de motores eléctricos en baja tensión, basándose en el servicio de diagnosis que ha desarrollado Motorlan, centro de reparaciones especializado de Corporación Mondragon. Se explicará el proceso de diagnostico de un motor instalado en campo, señalando cuales son los parámetros que conviene medir, los métodos que existen más eficaces y su correcta aplicación. Esta diagnosis de motores incluye el análisis de todas las variables del motor, tanto eléctricas (aislamientos, resistencias, consumos,...) como mecánicas mediante análisis de vibraciones y de temperatura mediante termografía.

• Preguntas y coloquio","","2015-04-13 07:27:12","post","https://www.motorlan.es/es/conferencia-abierta-en-la-escuela-de-ingenieria-upv-en-san-sebastian-2/","1425","es","https://www.motorlan.es/wp-content/uploads/2015/10/cabecera_mantenimiento.jpg","cabecera_mantenimiento","","","","https://www.motorlan.es/wp-content/uploads/2015/10/cabecera_mantenimiento.jpg","","Noticias","","Opcional","0","a:0:{}","1.0|1.0","1.0.1|1.0.1","","","{""total"":251,""to_translate"":{""eu"":251,""en"":251}}","","","","","","0","90","","Conferencia","MÁQUINAS ELÉCTRICAS ROTATIVAS EN BT","58","","","a:0:{}","","1","0","0","El 21 abril estaremos dando una conferencia abierta sobre el Mantenimiento Predictivo en MÁQUINAS ELÉCTRICAS ROTATIVAS EN BT.","check_only","1","","","","","","","","","","publish","1","adakiadmin@motorlan","soporte@adaki.com","Adaki","","conferencia-abierta-en-la-escuela-de-ingenieria-upv-en-san-sebastian-2","","","0","0","0","open","open","2022-11-29 08:27:28"
"1825","MOTORLAN en el Workshop REMAN Gipuzkoa #RemanufacturingGipuzkoa","MOTORLAN hemos tenido el gusto de participar como caso local de éxito en el Workshop REMAN Gipuzkoa celebrado el 26 de Marzo organizado por <a href=""http://h-enea.org/"">H-Enea Living Lab</a>. El objetivo del programa es acercar a las personas asistentes a la realidad del Remanufacturing desde una perspectiva tanto de estrategia de país (ejemplos como el Reino Unido y Escocia), como desde una perspectiva de aplicación en empresas industriales de diferente índole, tanto internacionales como del territorio de Gipuzkoa.<!--more-->

En las múltiples etapas de la recuperación de valor de la Economía Circular, los productos pueden ser REutilizados, REparados, REstaurados, REmanufacturados (REfabricados) (REaconditionados)o REciclados. El modelo de Economía Circular aplicado a la Remanufactura se basa en la reutilización de productos y componentes que llegan a su fin de vida útil siendo utilizados como recursos para hacer nuevoso mejorados productos. La Remanufactura es un proceso industrial muy bien definido. El proceso industrial consiste en la restauración de un producto o componente desgastado (averiado, al final de su vida útil, obsoleto o en estado de desecho) a un nivel de prestación y calidad igual o superior a los de un producto nuevo; ofreciendo al  usuario una garantía igual o superior a la de un producto nuevo.

El modelo Remanufacturing es complejo porque conlleva el rediseño de muchos elementos y desde diferentes niveles de análisis (micro, mezzo, macro). Se ha tratado de acercar la identificación de estos elementos y su relación en estos diferentes niveles (micro, mezzo, macro) de una forma sencilla y visual. Desde un lenguaje en el que todas las personas profesionales podamos entendernos desde nuestros diferentes puntos de interés (Empresa, Academia, Centros Tecnológicos, Fundaciones, Asociaciones).

It´s the turn of local cases! Mikel Serrano of <a href=""https://twitter.com/Motorlan_FagorA"">@Motorlan_FagorA</a> remanufacturing of engines <a href=""https://twitter.com/hashtag/RemanufacturingGipuzkoa?src=hash"">#RemanufacturingGipuzkoa</a> <a href=""http://t.co/o5ugg1Dowf"">pic.twitter.com/o5ugg1Dowf</a>","","2015-03-27 07:38:51","post","https://www.motorlan.es/es/motorlan-en-el-workshop-reman-gipuzkoa-remanufacturinggipuzkoa/","1426","es","https://www.motorlan.es/wp-content/uploads/2015/10/CBBXwuuWEAAH-iG.jpg","CBBXwuuWEAAH-iG","","","","https://www.motorlan.es/wp-content/uploads/2015/10/CBBXwuuWEAAH-iG.jpg","","Noticias","","","0","a:0:{}|a:0:{}","1.0|1.0","1.0.1|1.0.1","","","","","","","","","0","30","","Workshop","Workshop","78","","","","","1","","","MOTORLAN hemos tenido el gusto de participar como caso local de éxito en el Workshop REMAN Gipuzkoa celebrado el 26 de Marzo","","","","","","","","","","","","publish","1","adakiadmin@motorlan","soporte@adaki.com","Adaki","","motorlan-en-el-workshop-reman-gipuzkoa-remanufacturinggipuzkoa","","","0","0","0","open","open","2018-06-20 12:49:16"
"2270","","&nbsp;

&nbsp;
<p style=""text-align: center;""><a href=""http://www.motorlan.es/wp-content/uploads/2015/10/AENOR.pdf"">AENOR</a></p>","","1970-01-01 00:00:00","post","https://www.motorlan.es/es/?p=2270","1448","es","","","","","","","https://www.motorlan.es/wp-content/uploads/2015/10/AENOR.pdf","Sin categorizar","","","0","a:0:{}|a:0:{}","1.0|1.0","1.0.1|1.0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","draft","1","adakiadmin@motorlan","soporte@adaki.com","Adaki","","","","","0","0","0","open","open","2015-11-04 09:25:18"
"2752","MOTORLAN PRESENTA SU NUEVA WEB","<p style=""text-align: justify;""><strong><a href=""http://www.motorlan.es/es"" target=""_blank"">Motorlan</a></strong> es la unidad de negocio de <strong><a href=""http://www.fagorautomation.com"" target=""_blank"">Fagor Automation</a></strong>, dedicada a <strong>la reparación y mantenimiento de todo tipo de motores eléctricos y su regulación electrónica</strong>. Presenta su nueva página web con una apuesta clara por innovar y agilizar la comunicación entre sus clientes y su público internacional.</p>
<p style=""text-align: justify;""><!--more--></p>
<p style=""text-align: justify;"">El objetivo principal de Motorlan, es continuar creando un <strong>entorno más accesible y amigable para sus clientes</strong>.</p>
<p style=""text-align: justify;"">Entre sus características y novedades principales, Motorlan pone a disposición de los usuarios <strong>una </strong><strong>plataforma de <a href=""http://www.motorlan.es/es/compra-venta-de-motores/"" target=""_blank"">compra-venta de motores</a></strong>, donde el usuario tiene la oportunidad de comprar, vender e incluso alquilar motores<strong> de repuesto o fuera de servicio y/o sus tarjetas electrónicas de control,</strong> directamente entre interesados y de una forma fácil y sencilla.</p>
<p style=""text-align: justify;"">Además de esto, para una mayor garantía, ofrece la <strong>posibilidad de revisar los motores en su centro de reparación solicitando la</strong> <strong><a href=""http://www.motorlan.es/solicitar-garantia/"" target=""_blank"">Garantía Motorlan.</a></strong></p>
<p style=""text-align: justify;"">Junto con la calidad, el servicio es la pieza clave que garantiza el óptimo funcionamiento de su equipo de producción y por lo tanto, Motorlan <strong>ofrece un servicio completo con un seguimiento continuo y personalizado. </strong></p>
<p style=""text-align: justify;"">Esta nueva página web también alberga la <strong>opción de suscribirse a su</strong> <strong><a href=""http://www.motorlan.es/es/blog/"" target=""_blank"">blog</a></strong>, donde será informado sobre las <strong>últimas novedades de Motorlan, y del sector.</strong></p>","","2015-12-03 15:07:05","post","https://www.motorlan.es/es/motorlan-presenta-su-nueva-web/","1450","es","https://www.motorlan.es/wp-content/uploads/2015/11/hombre-en-ordenador-web-motorlan.jpg","hombre-en-ordenador-web-motorlan","","","Hombre en ordenador visitamdo la nueva web de Motorlan","https://www.motorlan.es/wp-content/uploads/2015/11/hombre-en-ordenador-web-motorlan.jpg","","Noticias","motorlan|nueva|web","","0","a:0:{}","1.0|1.0","1.0.1|1.0.1","","","","","","","","","0","","","WEB","WEB","88","","","","","","","","Motorlan presenta su nueva página web con una apuesta clara por innovar y agilizar la comunicación entre sus clientes y su público internacional.","","","","","","","","","","","","publish","60","motorlan","motorlan@fagorautomation.es","MOTORLAN","motorlan","motorlan-presenta-su-nueva-web","","","0","0","0","closed","closed","2016-03-04 17:21:08"
"3359","KGFwbgkwjh","","","1970-01-01 00:00:00","post","https://www.motorlan.es/es/?p=3359","2435","es","","","","","","","","Sin categorizar","","","0","a:0:{}|a:0:{}","1.0|1.0","1.0.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","draft","60","motorlan","motorlan@fagorautomation.es","MOTORLAN","motorlan","","","","0","0","0","open","open","2016-01-29 09:48:45"
"3360","MOTORLAN EJEMPLO DE ECONOMIA CIRCULAR EN EUSKADI - REMANUFACTURA","<p style=""text-align: justify;"">En el Contexto de la <a href=""http://acede.es/blog/2016/01/19/economia-circular-en-euskadi/"" target=""_blank"" rel=""noopener"">Asamblea General Extraordinaria organizada por el Clúster de Medio Ambiente de Euskadi (Aclima)</a> celebrada el 15 de Enero en Donostia, se expuso la Economía Circular en Euskadi como un motor de crecimiento económico además de su potencial para colocar la industria vasca en una posición puntera de reindustralización a través del reaprovechamiento, el ecodiseño o el  <a href=""http://www.remanufacturing.fr/es/paginas/principios-remanufactura.html"" target=""_blank"" rel=""noopener"">“Remanufacturing” (Remanufactura)</a>.</p>
<p style=""text-align: justify;"">""En Euskadi ya existen semillas"", tal y como apunto Xabier Gorritxategi de Acede, ""como son el centro de reparaciones Motorlan, una unidad de negocio de Fagor Automation S. Coop. dedicada a la reparación y mantenimiento de todo tipo de motores eléctricos, o Rebattery, que repara baterías"".<!--more--></p>
<p style=""text-align: justify;""><strong>Economía Circular</strong></p>
<p style=""text-align: justify;"">La economía circular es una filosofía de organización de sistemas inspirada en los seres vivos, que persigue el cambio de una economía lineal (producir, usar y tirar) hacia un modelo circular, tal y como ocurre en la naturaleza.</p>
<p style=""text-align: justify;""><a href=""http://www.motorlan.es/wp-content/uploads/2016/01/econimia-circular.png""><img class=""aligncenter wp-image-3362 size-large"" src=""http://www.motorlan.es/wp-content/uploads/2016/01/econimia-circular-1030x894.png"" alt=""Gráfico economía circular"" width=""1030"" height=""894"" /></a></p>
<p style=""text-align: justify;"">Como vemos en el gráfico anterior, se pueden diferenciar dos partes dentro del ciclo de la economía circular: la parte izquierda, que hace referencia al ciclo biológico, y por otro; el lado derecho, que hace referencia al ciclo técnico.</p>
<p style=""text-align: justify;"">La economía circular se basa en tres pilares:</p>
<p style=""text-align: justify;"">• Preservar y aumentar los recursos naturales disponibles, controlando los depósitos de recursos no renovables y equilibrar los flujos de recursos renovables.</p>
<p style=""text-align: justify;"">• Optimizar la extracción de recursos, haciendo circular productos, componentes y materiales, preservando su máxima utilidad en todo momento tanto en el ciclo biológico como técnico.</p>
<p style=""text-align: justify;"">• Fomentar la efectividad de sistemas, poniendo el foco y eliminando a través del diseño las externalidades negativas (ecodiseño).</p>
<p style=""text-align: justify;"">Dentro de la economía circular, en las múltiples etapas de la recuperación de valor, los productos pueden ser reutilizados, reparados, restaurados, remanufacturados (refabricados) o reciclados. En Motorlan estamos más orientados hacia la parte técnica como centro de reparación que somos y fijándonos en el mencionado gráfico, Motorlan ocuparía el ciclo que hemos resaltado de remanufactura / restauración (remanufacturing / refurbishing), en el que se encarga de reintroducir en la cadena de valor motores eléctricos usados / averiados. Además pone a disposición de cualquier usuario la posibilidad de vender o alquilar sus motores o reguladores de 2ª mano libremente a través de su <a href=""http://www.motorlan.es/es/compra-venta-de-motores/"" target=""_blank"" rel=""noopener"">plataforma de Compra-Venta</a>.</p>
<p style=""text-align: justify;""><strong>Remanufactura</strong></p>
<p style=""text-align: justify;"">El modelo de Economía Circular aplicado a la <a href=""http://www.remanufacturing.fr/es/paginas/principios-remanufactura.html"" target=""_blank"" rel=""noopener"">Remanufactura</a> se basa en la reutilización de productos y componentes que llegan a su fin de vida útil, siendo utilizados como recursos para hacer productos nuevos o mejorados.</p>
<p style=""text-align: justify;"">Esto se consigue a través de un proceso en el que primero se obtienen los ""cascos"" o ""cores"" -en nuestro caso el motor eléctrico o su regulación electrónica, en desuso o con avería- que sería el componente que ha llegado al fin de su vida útil, a través de un sistema de logística inversa, desde el lugar donde se produce el core hasta el centro de remanufacturado.</p>
<p style=""text-align: justify;""><a href=""http://www.motorlan.es/wp-content/uploads/2016/01/manufactura.jpg""><img class=""alignnone wp-image-3364 size-full"" src=""http://www.motorlan.es/wp-content/uploads/2016/01/manufactura.jpg"" alt=""Remanufactura"" width=""1006"" height=""182"" /></a></p>
<p style=""text-align: justify;"">Una vez el core llega al centro especializado, aquí se le aplican los procesos técnicos pertinentes, de manera que al final del proceso obtengamos un producto con una calidad y garantía igual o superior al producto original comprado de 1ª mano.</p>
<p style=""text-align: justify;"">¿Y cómo se consigue que este producto sea aún mejor que el original?. Volviendo al ejemplo del centro de reparaciones Motorlan, los motores procesados son por ejemplo equipados con aislantes de alta calidad que aumentan y <a href=""http://www.motorlan.es/es/proceso-recuperacion-y-mejora-de-aislamiento/"" target=""_blank"" rel=""noopener"">mejoran el aislamiento original del fabricante</a>. Por otra parte en algunos casos puede mejorarse también la eficiencia energética en el proceso de reparación, aumentando el rendimiento y reduciendo por tanto el consumo energético.</p>
<p style=""text-align: justify;"">Las principales ventajas de la remanufactura frente a otros modelos como el reciclaje, es que permite una mayor recuperación de valor de los componentes respecto a materiales, energía y know – how.</p>
<p style=""text-align: justify;""><strong>Economía circular en Euskadi</strong></p>
<p style=""text-align: justify;"">Con la economía circular, socialmente nos encontramos con un campo de gran impacto local no deslocalizable.</p>
<p style=""text-align: justify;"">Para la industria la economía circular supone una mejora de la eficiencia de sus procesos a través del aprovechamiento, reutilización y revalorización de energía, materiales y otras externalidades negativas.</p>
<p style=""text-align: justify;"">De esta manera creemos que estamos ante el momento de apostar por la economía circular por una industria y una sociedad más sostenible.</p>
<p style=""text-align: justify;"">Fuentes:</p>
<p style=""text-align: justify;""><a href=""http://www.ellenmacarthurfoundation.org/circular-economy/overview/principles"" target=""_blank"" rel=""noopener"">http://www.ellenmacarthurfoundation.org/circular-economy/overview/principles</a></p>
<p style=""text-align: justify;""><a href=""http://www.lessonsfromnature.org/es/index.php?option=com_content&amp;view=article&amp;id=104&amp;Itemid=130"" target=""_blank"" rel=""noopener"">http://www.lessonsfromnature.org/es/index.php?option=com_content&amp;view=article&amp;id=104&amp;Itemid=130</a></p>
<p style=""text-align: justify;""><a href=""http://www.remanufacturing.fr/es/paginas/principios-remanufactura.html"" target=""_blank"" rel=""noopener"">http://www.remanufacturing.fr/es/paginas/principios-remanufactura.html</a></p>
<p style=""text-align: justify;""><a href=""http://w390w.gipuzkoa.net/WAS/CORP/DPDOficinaPrensaDigitalWEB/nota/es/2585/asensio-ha-anunciado-creacion-observatorio-prevencion-y-gestion-residuos-gipuzkoa"" target=""_blank"" rel=""noopener"">http://w390w.gipuzkoa.net/WAS/CORP/DPDOficinaPrensaDigitalWEB/nota/es/2585/asensio-ha-anunciado-creacion-observatorio-prevencion-y-gestion-residuos-gipuzkoa</a></p>","","2016-01-29 10:48:12","post","https://www.motorlan.es/es/motorlan-ejemplo-de-economia-circular-en-euskadi/","1550","es","https://www.motorlan.es/wp-content/uploads/2015/07/economia_circular_img-destacada.jpg|https://www.motorlan.es/wp-content/uploads/2016/01/econimia-circular.png|https://www.motorlan.es/wp-content/uploads/2016/01/manufactura.jpg","economia_circular_img destacada|econimia-circular|manufactura","||","||","||","https://www.motorlan.es/wp-content/uploads/2015/07/economia_circular_img-destacada.jpg","","Noticias","economía circular|motorlan|remanufactura|remanufacturación","Opcional","0","a:0:{}|a:0:{}","1.0|1.0","1.0.1|1.0.1","","","{""total"":709,""to_translate"":{""eu"":709,""en"":709}}","","","","","","1","30","","Economía circular","Economía circular","69","3360","","a:0:{}","","1","0","0","Motorlan, ejemplo de economía circular en Euskadi.","check_only","4","","","","","","","","","","publish","60","motorlan","motorlan@fagorautomation.es","MOTORLAN","motorlan","motorlan-ejemplo-de-economia-circular-en-euskadi","","","0","0","0","open","closed","2021-11-15 08:54:38"
